636	493
554	548
352	371
87	73
651	634
659	660
549	491
792	795
297	300
85	73
89	73
686	637
762	729
644	634
690	633
170	73
289	313
74	73
795	355
634	491
672	630
759	758
312	306
75	73
548	493
86	73
729	758
742	758
640	656
199	73
739	795
551	491
630	635
649	630
639	660
275	73
747	758
748	758
82	73
192	73
220	120
182	73
661	633
688	631
550	662
120	795
370	120
520	526
79	73
133	73
572	574
653	631
176	73
180	73
303	284
741	758
83	73
573	795
191	73
181	179
283	120
195	275
362	352
168	73
172	73
80	73
652	630
660	634
674	637
186	303
107	106
115	756
635	492
111	106
552	554
763	730
118	116
511	491
782	781
113	110
730	758
179	180
637	634
689	638
353	373
286	306
638	634
675	638
367	353
753	758
131	111
645	630
671	634
746	758
523	526
77	73
372	354
119	110
185	73
524	526
521	526
735	758
687	630
221	120
364	353
669	667
650	631
81	73
318	302
189	73
633	635
365	352
734	758
631	636
116	111
662	636
783	781
91	73
476	792
194	106
88	73
749	758
351	120
525	526
366	354
743	758
664	660
300	795
190	73
363	354
737	758
569	571
655	638
736	729
31	303
761	758
646	631
754	758
114	111
673	631
570	574
738	758
692	669
313	284
764	730
90	73
658	636
656	636
691	667
110	106
648	634
654	637
76	73
280	120
681	683
647	636
