489	488
524	530
369	167
388	163
583	162
814	819
490	417
700	695
527	530
164	421
72	67
303	254
393	79
569	167
356	349
167	161
367	366
492	417
568	164
354	356
514	506
299	303
509	488
395	163
307	309
313	254
754	731
306	309
517	514
495	488
783	763
637	612
523	530
310	254
256	261
526	530
166	79
511	514
168	79
641	163
74	67
746	747
487	488
512	514
45	44
521	488
633	612
297	254
518	514
319	296
315	254
373	421
264	254
161	165
418	791
500	487
572	163
510	514
515	514
618	612
68	67
664	666
696	694
359	356
506	488
612	79
570	163
635	618
522	488
321	251
619	612
350	356
296	254
322	248
73	67
702	696
781	814
582	162
309	254
516	514
663	661
255	261
276	722
277	722
311	290
550	421
371	431
623	629
301	303
620	612
358	356
665	666
283	254
520	489
272	322
274	321
631	618
528	530
567	564
269	431
290	264
577	421
382	763
778	763
628	431
715	713
258	261
499	487
48	44
285	251
507	506
372	79
439	166
497	488
257	261
334	163
260	261
553	334
429	421
352	356
162	163
69	67
163	168
616	612
496	488
614	612
317	254
530	506
268	254
308	309
261	254
300	303
503	506
262	254
288	251
525	530
286	290
714	715
259	261
513	514
165	168
293	254
621	612
533	162
440	165
305	309
629	612
531	530
701	694
491	488
529	530
498	488
579	421
302	303
551	553
