629	627
337	583
45	181
444	583
558	572
384	46
462	44
486	487
93	67
487	482
617	583
46	181
662	663
468	502
343	507
466	507
557	551
390	36
87	67
562	572
623	181
79	77
316	44
89	67
440	33
618	627
430	502
48	44
546	572
49	44
658	672
513	583
554	572
626	623
611	583
504	505
11	583
67	583
377	583
344	507
339	583
383	45
549	572
36	583
722	181
33	583
214	209
434	430
551	572
708	722
90	67
552	572
81	77
624	623
555	572
605	611
359	44
432	430
50	583
422	36
82	77
382	46
456	50
545	572
346	583
449	502
589	588
77	181
94	87
318	507
740	722
217	209
80	77
44	181
167	158
724	722
588	583
482	583
22	18
464	36
733	722
735	722
560	572
502	583
23	18
664	663
225	209
561	572
328	329
314	36
483	487
34	583
231	209
329	44
389	583
365	44
24	583
345	583
737	719
559	544
84	181
360	44
165	158
218	209
625	623
338	583
509	583
507	181
386	583
460	44
512	583
387	583
553	572
78	77
550	572
547	572
461	44
340	583
627	617
324	502
717	722
443	44
83	77
720	722
18	181
738	722
385	45
366	48
446	507
463	36
285	289
544	572
548	572
