35	50	1
35	51	1
35	475	4
35	337	17
42	50	2
42	337	16
43	50	2
43	427	1
43	337	18
48	50	2
48	427	1
48	337	18
50	49	38
51	50	2
51	337	3
52	35	1
52	184	1
52	53	16
52	182	2
52	429	1
52	337	4
59	60	9
59	103	1
59	444	1
59	182	2
59	475	1
59	429	1
60	475	3
64	58	3
85	86	3
85	84	2
86	58	4
86	85	7
86	338	4
86	100	13
86	64	2
86	475	3
90	89	2
91	58	4
91	90	7
91	338	4
91	100	13
91	64	2
91	475	3
92	384	3
92	58	3
92	338	4
92	100	9
92	64	3
92	475	3
97	102	12
97	58	10
97	63	1
97	316	3
97	338	11
97	100	19
97	471	4
97	475	1
98	58	3
100	101	20
100	99	6
141	59	16
141	177	2
146	177	3
146	475	1
157	177	1
159	173	1
159	160	1
159	174	1
159	177	2
159	161	1
159	475	1
160	173	1
160	174	1
160	172	1
160	475	1
161	173	2
161	174	2
161	475	1
162	173	1
162	174	1
162	159	1
162	165	1
162	166	1
162	438	2
163	173	3
163	174	3
163	171	1
163	159	1
163	154	1
163	165	1
163	166	1
163	438	3
165	173	7
165	174	7
165	427	1
165	475	5
165	438	1
166	173	1
166	167	1
166	174	1
166	475	1
167	173	1
167	174	1
167	475	1
170	173	1
170	171	1
170	174	1
170	438	1
171	173	1
171	174	1
171	169	1
171	170	1
171	168	1
171	438	1
172	173	2
172	174	2
172	438	2
173	167	1
173	171	3
173	174	7
173	152	2
173	172	3
173	144	1
173	427	1
173	161	1
173	150	4
173	149	14
173	162	2
173	165	1
173	166	1
173	151	2
173	148	3
173	160	2
173	232	3
173	163	2
173	158	1
173	159	1
173	177	4
173	154	4
173	143	2
173	475	1
174	146	1
174	50	5
174	59	2
174	427	2
174	155	5
174	150	15
174	149	15
174	173	36
174	232	6
174	177	41
174	141	2
174	145	2
174	143	6
174	175	6
174	254	2
175	462	2
175	144	4
175	427	1
175	177	8
175	338	1
175	145	1
175	392	2
175	149	1
175	143	4
175	156	1
184	442	4
185	442	4
187	389	2
187	49	1
187	462	2
187	50	2
187	186	1
187	52	2
187	59	2
187	442	5
187	268	2
187	475	8
187	438	2
201	184	3
201	438	3
204	438	2
205	209	3
205	211	3
205	475	11
205	438	4
209	184	2
209	442	1
209	475	2
209	438	12
211	184	2
211	442	1
211	475	2
211	438	6
212	438	2
214	184	1
214	392	1
214	475	2
214	438	1
223	184	2
223	438	3
224	438	2
226	50	1
226	184	2
226	438	3
227	466	1
227	475	1
227	438	4
228	427	1
228	184	2
228	438	3
229	466	1
229	438	2
230	228	3
230	226	3
230	184	1
230	223	3
230	224	2
230	475	14
230	227	4
230	438	12
230	229	3
232	212	2
232	174	5
232	230	1
232	205	6
232	203	2
232	214	2
232	201	2
232	268	5
232	475	21
232	204	2
232	213	1
232	215	1
232	270	15
232	438	26
252	201	2
252	475	1
253	209	2
253	475	3
254	174	5
254	475	1
255	232	8
255	462	2
255	203	2
255	184	3
255	338	4
255	475	3
255	269	3
256	228	2
256	223	1
256	230	9
256	475	4
256	227	2
256	438	3
256	229	2
257	462	2
257	214	8
257	338	6
257	268	2
257	392	1
257	475	5
257	269	3
258	211	2
258	475	3
259	475	2
260	475	4
261	223	2
261	475	2
261	269	1
262	291	1
262	226	4
262	230	2
262	475	2
262	269	2
263	291	1
263	230	4
263	269	2
263	227	6
264	291	1
264	228	3
264	475	2
264	269	2
265	291	1
265	475	2
265	269	2
265	229	5
267	268	1
268	263	1
268	261	1
268	262	1
268	252	1
268	269	4
268	265	1
268	264	1
268	257	1
268	258	1
268	253	1
268	429	3
268	270	9
268	255	1
268	267	1
270	269	2
271	232	8
271	212	1
271	230	2
271	205	1
271	204	1
284	228	1
284	427	1
284	283	1
284	292	2
286	285	1
287	286	1
287	292	1
289	288	1
290	293	1
291	289	1
291	290	1
291	287	1
314	462	1
314	184	5
314	338	3
314	442	2
314	475	4
314	332	3
314	331	13
314	337	4
314	438	1
314	315	2
327	326	1
330	329	1
331	462	3
331	427	4
331	431	2
331	338	20
331	51	4
331	332	8
331	325	1
331	389	3
331	384	3
331	314	2
331	184	2
331	327	1
331	328	1
331	392	12
331	475	9
331	330	1
331	470	1
331	337	15
331	438	6
333	475	5
333	334	1
333	337	1
333	438	1
335	384	2
335	52	5
335	59	11
335	184	3
335	475	10
335	438	3
336	52	6
336	427	2
336	317	1
336	335	9
336	469	2
336	442	1
336	230	2
336	232	5
336	314	8
336	8	1
336	333	1
336	475	20
336	470	2
336	337	9
336	438	7
338	87	1
338	185	1
338	95	2
338	445	1
338	339	4
338	444	1
338	97	3
338	475	5
339	63	1
339	338	2
339	475	1
339	337	2
362	442	1
362	475	2
363	427	6
363	390	3
363	338	23
363	475	1
364	95	1
364	60	1
364	338	3
364	97	2
365	87	1
365	60	1
365	338	3
365	97	2
366	88	1
366	60	1
366	338	3
366	97	2
367	384	2
367	58	1
367	60	1
367	92	1
367	338	3
367	97	1
367	475	1
367	93	1
367	438	3
368	384	2
368	94	1
368	58	1
368	60	1
368	92	1
368	338	2
368	97	1
368	475	1
368	438	3
369	96	1
369	60	1
369	338	3
369	97	2
370	475	1
371	370	1
371	390	1
371	338	2
371	438	1
372	476	1
372	185	2
373	477	2
373	372	1
373	390	2
373	338	3
373	475	2
373	438	1
374	476	1
374	477	2
374	390	9
374	338	6
374	377	1
374	475	4
374	385	6
374	438	2
375	390	1
376	390	4
376	338	6
376	475	1
376	438	1
377	475	1
385	441	2
385	184	1
385	475	2
386	184	1
386	475	2
387	438	1
388	475	7
389	58	2
389	441	2
389	390	1
389	378	6
389	393	1
389	182	2
389	475	2
389	429	1
392	389	10
392	390	9
392	475	4
392	438	1
427	442	2
427	471	3
427	183	16
427	475	3
429	428	1
431	51	3
435	184	1
435	438	2
436	184	1
436	438	2
438	441	4
438	427	7
438	184	7
438	475	13
441	475	1
442	187	3
445	471	6
446	432	2
447	446	1
457	338	2
458	427	2
458	338	4
458	464	4
459	338	6
459	475	1
459	464	2
460	338	3
460	464	1
461	338	5
461	475	1
461	464	2
462	459	1
462	460	1
462	461	1
462	458	1
462	463	3
462	429	2
462	465	8
462	464	4
