31	35
33	35
335	314
223	468
224	468
252	270
51	8
98	97
331	468
364	393
169	170
336	468
214	468
460	465
36	42
312	337
215	468
231	184
92	97
32	35
435	437
269	184
388	438
467	438
87	86
96	91
264	270
40	42
204	468
227	468
386	438
93	92
254	270
172	392
317	468
473	477
368	393
91	97
378	184
468	438
256	270
365	393
374	393
168	170
458	465
258	270
464	184
157	141
30	35
52	8
371	393
47	48
262	270
34	35
163	164
314	468
373	393
183	184
313	337
253	270
38	42
292	184
434	437
88	86
289	293
43	53
263	270
209	468
97	60
182	184
230	468
260	270
259	270
366	393
232	468
41	42
440	438
203	467
390	184
211	468
257	270
284	293
375	393
261	270
363	393
37	42
45	48
461	465
29	35
205	468
457	465
334	468
229	468
35	53
8	468
103	184
255	270
315	337
95	91
226	467
459	465
376	393
42	53
48	53
46	48
389	468
39	42
384	438
94	92
228	468
392	468
447	477
213	468
385	438
212	468
146	141
387	468
332	337
162	164
436	437
265	270
369	393
58	184
177	184
367	393
266	184
44	48
201	467
333	468
86	97
287	293
337	184
